,EntryID,Reaction,Buffer,ECNumber,CellularLocation,UniProtKB_AC,Tissue,Enzyme Variant,Enzymename,Organism,Temperature,pH,Activator,Cofactor,Inhibitor,KeggReactionID,KineticMechanismType,Other Modifier,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Pathway,Product,PubMedID,Publication,Rate Equation,SabioReactionID,Substrate
0,4749,"H2O + 6-Phospho-D-glucono-1,5-lactone = 6-Phospho-D-gluconate","[ 100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase,  100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase]",3.1.1.31,"[unknown, unknown, unknown, unknown]",Q2TBQ8,erythrocyte,wildtype,6-phosphogluconolactonase,Bos taurus,25.0,7.4, , , ,R02035,Michaelis-Menten, ,concentration,"6-Phospho-D-glucono-1,5-lactone",0.001, ,-,M,Metabolic pathways,6-Phospho-D-gluconate,6852020.0,"Bauer HP, Srihari T, Jochims JC, Hofer HW: 6-phosphogluconolactonase. Purification, properties and activities in various tissues, Eur J Biochem 1983 (133) , 163-8",V*S/(Km+S),109,"6-Phospho-D-glucono-1,5-lactone;H2O"
1,4749,"H2O + 6-Phospho-D-glucono-1,5-lactone = 6-Phospho-D-gluconate","[ 100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase,  100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase]",3.1.1.31,"[unknown, unknown, unknown, unknown]",Q2TBQ8,erythrocyte,wildtype,6-phosphogluconolactonase,Bos taurus,25.0,7.4, , , ,R02035,Michaelis-Menten, ,specific enz. activity, ,0.00047666669999999996, ,-,mol*s^(-1)*g^(-1),Metabolic pathways,6-Phospho-D-gluconate,6852020.0,"Bauer HP, Srihari T, Jochims JC, Hofer HW: 6-phosphogluconolactonase. Purification, properties and activities in various tissues, Eur J Biochem 1983 (133) , 163-8",V*S/(Km+S),109,"6-Phospho-D-glucono-1,5-lactone;H2O"
2,4749,"H2O + 6-Phospho-D-glucono-1,5-lactone = 6-Phospho-D-gluconate","[ 100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase,  100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase]",3.1.1.31,"[unknown, unknown, unknown, unknown]",Q2TBQ8,erythrocyte,wildtype,6-phosphogluconolactonase,Bos taurus,25.0,7.4, , , ,R02035,Michaelis-Menten, ,kcat, ,14.3, ,-,s^(-1),Metabolic pathways,6-Phospho-D-gluconate,6852020.0,"Bauer HP, Srihari T, Jochims JC, Hofer HW: 6-phosphogluconolactonase. Purification, properties and activities in various tissues, Eur J Biochem 1983 (133) , 163-8",V*S/(Km+S),109,"6-Phospho-D-glucono-1,5-lactone;H2O"
3,4749,"H2O + 6-Phospho-D-glucono-1,5-lactone = 6-Phospho-D-gluconate","[ 100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase,  100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase]",3.1.1.31,"[unknown, unknown, unknown, unknown]",Q2TBQ8,erythrocyte,wildtype,6-phosphogluconolactonase,Bos taurus,25.0,7.4, , , ,R02035,Michaelis-Menten, ,Km,"6-Phospho-D-glucono-1,5-lactone",0.0008300000000000001, ,-,M,Metabolic pathways,6-Phospho-D-gluconate,6852020.0,"Bauer HP, Srihari T, Jochims JC, Hofer HW: 6-phosphogluconolactonase. Purification, properties and activities in various tissues, Eur J Biochem 1983 (133) , 163-8",V*S/(Km+S),109,"6-Phospho-D-glucono-1,5-lactone;H2O"
4,4749,"H2O + 6-Phospho-D-glucono-1,5-lactone = 6-Phospho-D-gluconate","[ 100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase,  100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase]",3.1.1.31,"[unknown, unknown, unknown, unknown]",Q2TBQ8,erythrocyte,wildtype,6-phosphogluconolactonase,Bos taurus,25.0,7.4, , , ,R02035,Michaelis-Menten, ,Vmax, , , ,-,-,Metabolic pathways,6-Phospho-D-gluconate,6852020.0,"Bauer HP, Srihari T, Jochims JC, Hofer HW: 6-phosphogluconolactonase. Purification, properties and activities in various tissues, Eur J Biochem 1983 (133) , 163-8",V*S/(Km+S),109,"6-Phospho-D-glucono-1,5-lactone;H2O"
5,4750,"H2O + 6-Phospho-D-glucono-1,5-lactone = 6-Phospho-D-gluconate","[ 100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase,  100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase]",3.1.1.31,"[unknown, unknown, unknown, unknown]",Q2TBQ8,erythrocyte,wildtype,6-phosphogluconolactonase,Bos taurus,25.0,6.5, , , ,R02035,Michaelis-Menten, ,Km,"6-Phospho-D-glucono-1,5-lactone",0.0007, ,-,M,Metabolic pathways,6-Phospho-D-gluconate,6852020.0,"Bauer HP, Srihari T, Jochims JC, Hofer HW: 6-phosphogluconolactonase. Purification, properties and activities in various tissues, Eur J Biochem 1983 (133) , 163-8",V*S/(Km+S),109,"6-Phospho-D-glucono-1,5-lactone;H2O"
6,4750,"H2O + 6-Phospho-D-glucono-1,5-lactone = 6-Phospho-D-gluconate","[ 100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase,  100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase]",3.1.1.31,"[unknown, unknown, unknown, unknown]",Q2TBQ8,erythrocyte,wildtype,6-phosphogluconolactonase,Bos taurus,25.0,6.5, , , ,R02035,Michaelis-Menten, ,concentration,"6-Phospho-D-glucono-1,5-lactone",0.001, ,-,M,Metabolic pathways,6-Phospho-D-gluconate,6852020.0,"Bauer HP, Srihari T, Jochims JC, Hofer HW: 6-phosphogluconolactonase. Purification, properties and activities in various tissues, Eur J Biochem 1983 (133) , 163-8",V*S/(Km+S),109,"6-Phospho-D-glucono-1,5-lactone;H2O"
7,4750,"H2O + 6-Phospho-D-glucono-1,5-lactone = 6-Phospho-D-gluconate","[ 100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase,  100 mM Triethanolamine-HCl, 0.6 mM NADPH, 5 U/ml 6-Phosphogluconate dehydrogenase]",3.1.1.31,"[unknown, unknown, unknown, unknown]",Q2TBQ8,erythrocyte,wildtype,6-phosphogluconolactonase,Bos taurus,25.0,6.5, , , ,R02035,Michaelis-Menten, ,Vmax, , , ,-,-,Metabolic pathways,6-Phospho-D-gluconate,6852020.0,"Bauer HP, Srihari T, Jochims JC, Hofer HW: 6-phosphogluconolactonase. Purification, properties and activities in various tissues, Eur J Biochem 1983 (133) , 163-8",V*S/(Km+S),109,"6-Phospho-D-glucono-1,5-lactone;H2O"
0,41280,Formate = Formate,"[150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 5 mM HEPES, 3.3 mM Tris, 150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 5 mM HEPES, 3.3 mM Tris]",-,"[extracellular, intracellular, plasma membrane]",P53986,Ehrlich ascites tumor cell,wildtype, ,Mus musculus,25.0,7.4, , , , ,unknown, ,Km,Formate, , ,-,-, ,Formate,7818477.0,"Carpenter L, Halestrap AP: The kinetics, substrate and inhibitor specificity of the lactate transporter of Ehrlich-Lettre tumour cells studied with the intracellular pH indicator BCECF., Biochem J 1994 (304) , 751-60",Vmax*S/(Km+S+kdiff*S),12483,Formate
1,41280,Formate = Formate,"[150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 5 mM HEPES, 3.3 mM Tris, 150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 5 mM HEPES, 3.3 mM Tris]",-,"[extracellular, intracellular, plasma membrane]",P53986,Ehrlich ascites tumor cell,wildtype, ,Mus musculus,25.0,7.4, , , , ,unknown, ,concentration,Formate, , ,-,-, ,Formate,7818477.0,"Carpenter L, Halestrap AP: The kinetics, substrate and inhibitor specificity of the lactate transporter of Ehrlich-Lettre tumour cells studied with the intracellular pH indicator BCECF., Biochem J 1994 (304) , 751-60",Vmax*S/(Km+S+kdiff*S),12483,Formate
